"agency_zuul_uid_sha1","agency_zuul_uid","name"
"0f3192ab24cc2d4efbce4ed466b1e5975a015b42","AGCY-8804ea91-8798-4df2-9ccd-d6a009749b00","test_agency"
"f547775c4e09b88eb0ad045c8b34c76fb0c25adb","AGCY-226e66c7-5ec7-41ea-8bf1-d8ba12f12825","Playstation"
"f942f9c089127883eb6eb02dfc4594db10328785","AGCY-3f6463de-a869-486b-956b-d4ac412c3de3","National Australia Bank"
"6a7506b1d3db2a4c3429e57f85812d4d08542ce6","AGCY-b80f912a-158c-4e4c-9b0e-8da809f5b522","Vodafone Qatar"
"cb88e14e40a3ff0fb77d4cac902cfc98b3effdd3","AGCY-b2361418-b05d-414a-82bb-ed00139ae7de","RBB Communications"
"5544d242e6ff5e61d87f006c55009e1a8d650520","AGCY-17618911-0189-43ca-92ce-d4ba1914f25e","ExxonMobil"
"023947dc6cc46797a7bc7a2cad3e0bf9b8e56e02","AGCY-1f517146-e06b-4b1a-b618-689a7b6121a0","AECOM"
"73a0c82323a83e032f0782829d2e62e80bcbb5d4","AGCY-5e7343fa-05ed-4e96-b9be-6f1ffd2aec36","NJ Advance Media"
"a14d7d041727d8ad35b74c4bd3c6f5ab836c814c","AGCY-ac2f5e59-575e-409b-a3d3-b0de0d1bce1c","Harmelin Media"
"5cf03a0abfdb78812e7d675ed83e749de3d7616d","AGCY-b4037b20-0339-4eef-81fe-5496eb9a172e","Pegasus"
"c5ba12a75f3771ae79b937e8d8b3a263748ca470","AGCY-b70e5967-7096-4486-aa24-61ed41c1fadb","5ifty & 5ive LLC"
"66ad03023daeaf4ea455501c4966b0a02640a285","AGCY-76825ed6-c32f-4d78-ad25-ee61813dea4a","Hippo Data"
"3a7bf7af64b8d99a8aa36a3af2c3eecd15e7ee89","AGCY-584834ab-0de2-49a2-8abd-29549f899203","ZIMAT Consultores"
"b582e50c48e2a96c44bea1fe5d9ea858931d9cba","AGCY-3894d70b-4e5e-4647-9ebe-4153e75e749e","NCBA"
"e37b97cb7dc2cc6706030af0c9afb1df8b05d6bf","AGCY-cc5b445e-3774-433e-9771-d1532e148a60","Spurrier"
"73aab7b9bbfc537f8b30ae711702e2efa81e4edc","AGCY-cd679067-83a0-4ca9-b60f-fea09fd97fab","Goldman Sachs"
"2c2f406a6cda26fb1ddb7a00c9d45af4bec36ce9","AGCY-ed75429d-d8e9-4570-be28-587bc799ea96","Smartbase Solutions"
"f0b08f5cdfb94c3a7e6c26561c88ab316c319ef2","AGCY-ceac26fc-03ec-47dc-9622-6c8188e2322d","Nobull Communications"
"ff6a2819cf2d8d636ed25e7f08aebf35dcee7a05","AGCY-e36abb8d-bb24-4367-8f58-05038e81f5de","DNAinfo"
"ba5e414df3f2f2120c9b6f368a6bfb8d9e9a7037","AGCY-1eecbff7-b600-4de9-ae0b-69e7f2d3ceee","Pace Communications"
"b4e16d13cdc670b377a09e6c1d9244691ed1ba62","AGCY-19620b9a-338d-47a7-b6b9-baecf9fda6e0","Davis Elen Advertising"
"014a0f31eb84e325fee2bf70bb79128995501959","AGCY-cb08a3c7-8f32-47dd-b5dc-948e000e25eb","Protect-A-Bed"
"aa25d8fbc78e3a31747b2d7a191d57a781521bf2","AGCY-51357960-b092-4161-ab16-cd4d4f56c695","Evok Advertising and Design"
"1824b54392b39118dd8b1fedf092151c00bdd162","AGCY-75f89c69-9f7f-46a7-b483-97b099ffc629","Curator"
"56826b0e4ab228315157bf0557c2cb68fddd78d1","AGCY-183a925c-38bf-4951-a54c-135abd663f30","L'Oreal Australia"
"c257cb4473a68a0c6d3a8ad1305b85f694dbc7b8","AGCY-b7455268-b547-443f-a4aa-95f107929439","Boehringer Ingelheim"
"99af0dfce35ef7b58a406d4d42d008d8b1388fd5","AGCY-23b388bb-912f-4b80-a20f-4648611dc966","Clean Energy Collective"
"91da6eaba8ea02708dc1eacdb6c7aa42b0b0f5f3","AGCY-697e118f-da6e-490f-92c2-909701f9a46d","Exient"
"22d8613d0c3e5d630c102f178879c27a0905b605","AGCY-2a4b6a0d-3929-4249-8781-dd6ede35c346","DDC Advocacy"
"c59643d98c24e797d675d71a643230cfa1250f2d","AGCY-112a235b-d5a2-48c8-a09a-bc267793a5b0","Southam and Associates"
"f3faafe954f22ab7e270f2e3095b04312bd97664","AGCY-60a64496-4b01-4a2f-9019-e754d6e711d9","McKEE WALLWORK + COMPANY"
"e72d64ce78435b02ffae3296dbe87b0f6c9b9e28","AGCY-ff84c56d-f8ea-4e5d-894f-a832f1af37e3","Proof Interactive"
"484a64dcfc3616ec37c05f473a03afbbe4b39ec6","AGCY-5128897d-2380-4204-b255-4cbd2396bcdb","FOX Argentina"
"32a30d0585a4e2b1152f036a8b8d33b226086fb5","AGCY-9c323921-5746-42f9-9459-1e9fbf4119fd","CLS Strategies"
"1aaa1d161b8fbf6b7cb16f5ae72eda3d2854e2c8","AGCY-65ca28e9-c886-4ed0-8834-48526fd26d02","TBWA Chiat Day NY"
"d0ed6778a87d2677e34faed8363833408bfe4736","AGCY-a47e13ad-a3d9-4b18-b076-765aea7e96b8","Colour Toronto"
"6da872eddf8e30f8833c391452367a07005faab3","AGCY-5d2e0e39-38be-4607-9541-0122a0ca53c8","Frank Public Relations Limited"
"5be021f7f6ff2b7ddb32fefcf16f3abe353274f3","AGCY-8fb40e66-f7fc-4304-928e-028a440ddd44","Infinitee"
"4f7b8f6ebd049ebbd8a55ab72bec216b345939fb","AGCY-14d89332-b634-4f18-871e-2d1450f49c07","Nissan United"
"f21002455833cdff263666ed8d387088d033706a","AGCY-6670c064-eb27-4441-89db-ca51a989e507","Visit Florida"
"5980cc1b1653b854447c984d0a2aa17a3143120c","AGCY-5eb9535c-99eb-4786-a247-8482d3091c30","Tyson Foods"
"dcd42fecf676e9e7a25403b554635472b67d56e4","AGCY-4764d141-34fc-4da5-bbb2-79db2bbe9f14","Research 8 Thinking LLC"
"2b29fd5764f59427b887bd6392c4c9ae61ae339c","AGCY-669628d3-77fd-4338-b807-b3e2b305a3e3","Makes Media"
"78983ebcc9acdf8b2817df040a459840a9f84cd6","AGCY-aa252ea7-4ab9-4585-8bb3-6f42473a7bdb","Method Communications"
"d83be13676d9588add74ea3cbe5ecc972cba654d","AGCY-53788f9e-636f-4b7d-9e94-40c5057ee931","Vilocity"
"663c33fc8ac22c04f1863d45c885d45809aee09d","AGCY-96729577-e479-4697-8ecb-ed1ca8dfebbd","Mullen Lowe Mexico"
"a40181db2726793e652918add543b0179055c3a6","AGCY-21e6794f-13d2-4a93-a853-3461e2c50325","Nice Inc."
"ef31cccea85566fff16759db1ae9ff294ce62144","AGCY-ab4f510e-dc9b-49c4-a9a1-7c0ab8870212","Adidas"
"ae10e9f8a07265a789e431b388b967ed4fe0f201","AGCY-54c19a30-91bf-4bf2-a5aa-39615edff7c7","NC State University Communications"
"1d8f70edbe655cd792d5f80267ab03d9d0914a61","AGCY-779c0ba6-f696-4204-8c82-8003a0e0f807","Ogilvy & Mather - El Salvador "
"d72008a79fecb52d0b8597485284a3d8f3a65de0","AGCY-eb9d453e-340a-413a-bda6-48a7c3e9f02c","Sandbox"
"62919bb74962883774f21bf344f26535c888403b","AGCY-2c94f5b1-731d-4cee-ab2d-6b2d3c6acd77","Tayburn"
"e96f5e44a3fde929d8baa1575f1ac4c0457dcdc2","AGCY-793e7cd8-356c-4123-bee9-ab21cb6ff8c9","Colorado State University"
"a58714ea374b31210e52070233ba6fee193529f3","AGCY-d5117ec1-48bb-449c-af19-bf413d970ceb","Barkley - Noodles & Company"
"c69e052241e975f27d5694598eac8d05c9b8e67f","AGCY-21a3d44e-787d-4456-8245-5dc602b73e1e","RankLab"
"7d3a9fa066fd559e1621f7fca6a537fbe1579e80","AGCY-3f584fa7-e8ca-46bb-ab50-3ebe1f55c345","Brandtailers"
"cd040f4eee0039e923f88d652f60daff09fed874","AGCY-2ef5ada8-729b-4923-8be1-c2deb49fa615","FabCom"
"340fa0b357755649a69eae0b88260d97a3a4526e","AGCY-7018a8d5-3134-40fd-9e69-f7aa397eea51","McNamara Research"
"05a6c314c8555924312962003743587d2f55034a","AGCY-e627bc7d-acea-494a-a1b1-8b270baab783","University of Texas"
"4f782e628d543864395d5e7090d9d37e2544f5fe","AGCY-81de6a7d-3912-46c0-b95f-cc05dd15a7fa","Incremental Marketing Group"
"f52a1d6498329e3e78d09c6cf277b5ea668218c0","AGCY-d56e4edd-574d-4307-8121-a7b7e85529fc","Conspiração Filmes"
"a836ed6fac13496a07fedcbaaa719d2c2a9b72d6","AGCY-ab5bd63e-fc4b-4b5d-adb1-95ebe34afe55","WanTicket"
"566607a692c393c7137a9975358487f6db20dc81","AGCY-7882612f-89a5-498e-9d93-a8df1817380c","Porter Novelli"
"e735264d65b2799c782e1c56c336b46c0ca55c56","AGCY-5fc9f96b-9fd7-4298-867d-f39849452a9b","Requested App"
"3611ae8847154c9c54d380c739e5f3faaefff7a2","AGCY-6657eb52-1ce5-47a4-a1c6-c502c8d07465","Carew Co"
"4264b4d23f367ec0f94d1d637f15f7af3316b618","AGCY-4b0cd2fa-bbb9-4b7f-a5e4-4085373ce436","Red PR"
"e2481b1bbcb2d32bf8015707b2b9e22e2622898a","AGCY-fd05b06b-2125-41a5-8a8d-2152938d71a1","The Block"
"c6d7ebcc222e7b79f57f16dbf7b8385892519500","AGCY-4e89c808-22cb-469c-ad6d-28ae7ba88747","Ink Digital"
"546e5ce20d6f4135997c5eca94e286532bd8dd92","AGCY-54b34122-651e-4ef6-8cb4-2de2d6d90480","Click Communications"
"06894e5a361e686aa504e77c7c74889669efed47","AGCY-fff55d9b-4a18-4c2a-850d-7d304265daad","Ad-Comm Group"
"b6e052dbe431470ce3e7dde4ea65a488233b078d","AGCY-63a6f33e-c83b-4a4f-9d8c-36c4c5036b7c","FastPivot"
"9cc667d40786cdbd20fe48a1c9e55da754cdf035","AGCY-83fdcf05-47b2-4430-a434-843b6dc235bb","Dubai Police"
"7466c3cfae3ea1e474d2c98e256866201e90451e","AGCY-8bb0fb6b-cc04-490f-b3e6-df3e6ce217c4","Power Digital Marketing"
"d9b96e672122cd6870a54b5ee9578e789e98b1db","AGCY-9e2f3281-331c-4d3b-a726-3cb5b2c5189f","DealerSocket"
"9a6823c8e38c15ecc874ac8de735a9fec33a4fdc","AGCY-01614c6e-4577-4dc3-89ae-93bb77b3ed5a","StrollerDepot.com"
"345aec9271367261ce6c061ce45bfce2f15a5834","AGCY-509b30c0-3714-4a68-9b9b-5f4cc2be3a36","Columbus State University"
"c36f361127f214b319518e0beed46249a9fa5a49","AGCY-7b5e1838-064b-4571-bd71-9fb04e803780","communications 21"
"a4d05e31cbd39d39b49cbc00b0f24cd5be377f65","AGCY-d36ed775-c2f0-4773-82fd-49ebb6caa684","GS Bank"
"f68ce0e57332ff5b17593e1fa23cb183128c3a26","AGCY-670d3592-c2a9-414d-852e-3b952a910af0","DMN Advertising"
"93da87e6808ebf413ff75a5a5b8a0ac98911caf0","AGCY-fcc3a8b7-4052-46a9-820a-439e6ca46230","Contacto en Medios"
"85501e1ca44692b5adb4b72db79e003f1882926f","AGCY-f5be738c-1ed7-496b-9ef2-1416f4923a44","Eldorado Resorts, Inc."
"da57cf390335b4596f3ad08ec55c167b7f368eb8","AGCY-8c72b02a-848e-4e72-bfa8-607e5cf63488","Indiana State Fair"
"3167915969c2bef0489f5b0deb18bc528fb2f555","AGCY-22ae91e9-0aa5-4753-ae16-eeb8e154ad6e","Gogo "
"bf46b92e0aba21fe46fec23874566b706a7ae519","AGCY-0af74ba7-7600-4710-9f18-eb68e42b7cf7","Quantumlinx"
"422071e72765fc73c1d4d6592e13cc5084822609","AGCY-1e272267-0742-4150-8b46-806e0c9f27ab","iConstituent"
"a83297597769e2464d7f25a530035e5041a963d6","AGCY-15d1e114-21b5-4696-85a6-f0ccd9818981","Alliance Healthcare"
"0dabd2f12495c00799562ceb357ee8bdb8f28d63","AGCY-c80b5f15-834d-43b2-ada1-b3562e6d55cf","Quick Marketing Group"
"694b7fded314a53272221961b195ce23e4b471a8","AGCY-e2923ab7-7c23-4bb2-91aa-9dd258eb3193","Vanity Fair"
"ffc99cd685ebd31c31c987e5ce839d894affc630","AGCY-6153f79c-f895-4d50-9ddc-4ab3b8a5e796","Zenergy Communications"
"6d99b64b6a8bd8f49d5cef7a981e966b2cc46ef5","AGCY-01c89e25-c081-43d1-aeaa-0d6cf35b1e3d","O'Neill and Associates"
"83027b608166d79151a95b7602301e50171756bb","AGCY-dbc38080-1c16-4a5e-ab07-db7b4cd5eded","Eight Steps West"
"47f30909d4ef8c8db6872597b1642f4976cd4003","AGCY-43bf3616-1af8-4012-92b7-b7217861b140","Bailey Lauerman"
"a7820e2cb552d70f93af6a3d523d27a43895d37b","AGCY-e06b9a3a-2a95-4e7f-9b41-529c24ad3e36","The Boston Group, Inc."
"8f2e01940e38a7db9ee78d3ece1c306ff4bd8e2d","AGCY-8539ac53-4811-4538-a990-2c35e469ee4b","Jotabequ"
"f43cd7a1caa608e8b684e83bd93c650279d0f363","AGCY-86be04d8-e7e0-487c-8a3c-44788cdf431d","Blaze PR"
"c64d906b85ce8645acbc003f643ba1da281c305e","AGCY-10540414-a4fb-4c12-81f8-3f420c9ee173","Snap Agency"
"c0c41b31931dd90fc90933c516fcacd2c3ce851a","AGCY-a3073211-0394-46ff-958b-209dd31d89d0","Abernathy MacGregor"
"90ef37b11ea4a77962bd7421623816709ef4d6f2","AGCY-526c4b43-8009-4a7d-8fef-65f392445e56","160over90"
"7efc2e938be6ea01b4362676bc2fcf3500e7c852","AGCY-8f9d0fec-f070-4b87-b18d-ad55cf98bfb9","Marketing Services"
"d3fd8b1742abfbffd81393430540ec36d166496c","AGCY-800f503e-0969-48e3-952f-3d316bfde281","Leonards Advertising"
"cdc8bae2d99702a37e4869aa8116250412e273ac","AGCY-bc63dbae-7a4d-4ef2-bee5-7d4c7b6a34c5","DV8 Digital Marketing"
"a3b2efc48a6be2dd51132582fe061d00ba7e4724","AGCY-15210e40-dc38-4548-9f00-39f6a8495791","Epicenter Media & Training"
"1ca41121f05f922100ca241d030138bb0c221836","AGCY-474a6130-78e2-49b7-9387-04b2b5a9bac3","Envision"
"499a42ff138a48edac4c72f76177678d820d724b","AGCY-9b1e4d8b-4d0f-4b39-90fc-28f213a6193c","Quru Qy"
"6e06f23d4d327205d45cd3261e944d7ef03fd00c","AGCY-54a3b5f4-bc59-44f5-afcf-edd2b366cb3f","Burger Fuel International"
"f013b0d728a19dbec2970756ddc202ee835dcf64","AGCY-a5b069eb-e63c-4f3e-838a-e3ad2e8506eb","Mueller Sports Medicine"
"3319923f72b03f7f41272f1a1a4f97f85d560bd0","AGCY-a19b4ea9-ae0b-4a6d-a68c-7c3c2e3fb685","Fit Approach"
"13186eb09004ddb0e79f7db3815a550c7dfd5345","AGCY-7564b9e5-0de6-4286-a27c-e483c7d2c7a6","Vision Super"
"79816ba2c608469d9028f8152a16ade0399b8091","AGCY-25af29ce-3283-485d-b58d-aeb5c6e05953","New Wave Entertainment"
"44c3917a917382c64f26b8667fa591d7d980dc72","AGCY-57a368c7-020f-4d14-a794-1ea39be8c2c3","Micstura"
"9610bcdbbd4091224318642a43c2dfea4d543c0f","AGCY-e8ccaa52-d80f-4ac4-ac28-0a2bcc0f0000","Publicis Argentina"
"7c12b505e91bfc89718d24ca81ba0d30e103e549","AGCY-56e84101-6a11-4649-ac50-3e79c1267aa3","The Blogger Network"
"eaffdbf5258877bffaf24f73f753f5e43e504bf6","AGCY-5d548bbd-b619-47d5-b6c1-9f8d0911919b","Noise New Media"
"e89fbed2864eb7390c9c7c58262b91781da1c796","AGCY-2dbd947c-5916-41df-828f-f67b26c720e3","MM-One Group"
"94f2af11599c6e7ee3f38259ec1e4ad28b836827","AGCY-9e42a0f7-b220-4bab-a1c1-07691a00c1a3","LANDESK Software"
"5d03f5730059e9da1cdc2ab09538c857cab7c468","AGCY-9fd7868e-5cc5-459b-9ca7-ca5306d237bf","Bloomingdale's"
"9511a809dd2b3b2d9b691a249f109be1bb33b72e","AGCY-600ca67d-f6cd-4103-80eb-7be3a943ac55","Tulchan Group"
"93457428bae2fc6267e94206503edd63e1c5e1d0","AGCY-815218c6-78f8-4f0a-9607-4fd12c003720","Molecule Marketing L.L.C."
"755bb46ed69fd079508fd9292780c2037c28ca58","AGCY-e726f267-36b7-4aa9-8524-327c32b8dee0","Lime Inc"
"78f34cfa2ebe1f2bd0263ed3268e0f3e4c7cbca5","AGCY-298791c2-0033-4871-a7b9-e4e79d9f1e81","Colorado Department of Homeland Security"
"c72f5d1e14ec9af253933ca5334416eea78e389f","AGCY-65f576c5-f82e-4e9c-9c40-724bf305df60","Theory House"
"da4e3d0723218ffcde1375d5c741abd0fad993f3","AGCY-69467342-eba1-4ca5-8fb7-80b2a329870a","VicHealth"
"1ff602da2a28456d21e1e0a73afe4411f3a60b15","AGCY-7330078f-5304-467c-b088-4a2c004f7fc3","Teletech Services Corporation"
"32c9fe3bfa2c2363eb78f5a36428ea383b3af512","AGCY-513185d5-d14c-4df8-8ab2-134b83894b92","Aussiebum"
"ebc91b3e7dfbe8ae2c3e0366d1cc0a3c7fc16656","AGCY-6855ba7e-87cb-47de-9af2-44af2de85ae5","Strategee"
"40c607685ff52c75e525ec312e7e4a66c73e12c4","AGCY-e179566e-051d-4f69-8a21-7b6eabb552b5","DK Communications, LLC"
"1b52a6acca54a56e9bed968b5f15af817b5b7cae","AGCY-bad567d6-1dc5-4112-a649-411c9f42b097","ECi Software Solutions"
"ee2f14795fc20a2591c53e3bf4094d01acad4f5a","AGCY-f92a8450-10f1-4219-9bbd-fecba03f9881","University of Kansas"
"5f94dee276e1a66e4c8e0eeb5eb24e3676a3ce69","AGCY-3a583a53-3271-4918-bfd0-31235211eaea","Pinney Associates"
"0edbe32028762715d0f5b983bcfb269d82f5c068","AGCY-e7576102-da79-4b0e-91ea-29965a01ea6b","SES Satellite"
"7b24a22be0754b33b34cffe9e364cb54dc086f8a","AGCY-17abab44-57c6-46ee-9a62-9519bd31c627","InfoComm"
"6c9fe38027b8ec186285c535eb6ccb75df3960a2","AGCY-c5767a29-4428-40ff-8737-12baad28c07b","Stephen Wade Auto Center"
"33bbff4fccbc9bf968fbd1429005e3f349137ea9","AGCY-d9a32871-5862-4efc-a376-f53a1c2dd5bc","Live & Breathe"
"96103918972259d45a5e1b367f22931c76197683","AGCY-bdf19f44-6dc4-4759-acfb-075f144986ba","Brownstein Group, Inc. "
"01fa99883bd68c691cc7b2c41de9480678a601dd","AGCY-1d4448d3-ae25-44e8-a7ec-afb22a475e32","Lewis Operating Corp 2"
"b888c42158ad0d6d0e23831f626da1dcc6030e94","AGCY-9abe7568-b64c-4208-a77d-91e6401185e1","Business Wire"
"c0e467bd255fc47b4c363a01ce92bf904d55a5c3","AGCY-f531525f-cb4d-4dcc-b1bb-0a76b94725ce","Trollbusters"
"75f15f0f959406f666e931d09d5d9b2a701c656a","AGCY-31921535-87e4-4aa4-bbb3-96855c58a42d","GNP Company"
"660a733073e6ad6536862ab75fc311b7cb4bb749","AGCY-bd456cbf-c49d-48ba-bfc3-b69f71f4421e","Five Corners Strategies"
