"zuul_uid_sha1","agency_zuul_uid_sha1","nuvis_uid","zuul_uid","name"
"59d7abd93e7411b12ca26cf250ee09e426355d42","b582e50c48e2a96c44bea1fe5d9ea858931d9cba","51f045e53313580864873386","CMPNY-8bac9a96-4392-4501-893f-1707437dec60","NCBA"
"2bc7579de04ce988e58cc0f250520e35bdf8dda2","0f3192ab24cc2d4efbce4ed466b1e5975a015b42","56141d9a33135805247b822c","CMPY-f2d767fb-2437-494f-bfc2-2e7069a7585b","test_company"
"c45f3df7260422ee4b11c9fd119e201e5013afcb","0f3192ab24cc2d4efbce4ed466b1e5975a015b42","50e5ad333313580e14ff01e8","CMPNY-849a914b-c94f-4d3c-8357-4baed1b9c9fc","*NUVI"
"dffd631663d04fe68be642e9a0590eda39cf92d8","f547775c4e09b88eb0ad045c8b34c76fb0c25adb","57b32eb11b21e032d492afc4","CMPY-2101f65f-7fc0-4ab9-890d-0cfc9dccf7b3","Playstation"
"a6433968a60c8f949c07fd89dc1e4b1b0cc224ac","f942f9c089127883eb6eb02dfc4594db10328785","563bf5ea3313580c44c01129","CMPY-018fcddb-7a20-4f8e-b603-c3b85d77d405","National Australia Bank"
"e32e484f48938970da829e4925ee7b7df0235203","6a7506b1d3db2a4c3429e57f85812d4d08542ce6","5654a6c1331358086ccf589f","CMPY-f5dafc40-fd77-47dc-80f6-f8c8829a91fc","Vodafone Qatar"
"61a96bb40c869b4546681fbce7764c5472c8960e","0f3192ab24cc2d4efbce4ed466b1e5975a015b42","54f88f3d1b21e00750d3f3fc","CMPNY-4620c3cf-2a1c-4191-b8b1-b6c0c2e6e7b7","QA Michael"
"c01c742d3fc3300b6326ff7ebdce2db6c7a89d59","cb88e14e40a3ff0fb77d4cac902cfc98b3effdd3","5669961c33135817b466f292","CMPY-8e4597bb-d21a-43c5-aa7d-ef2dbcbefa18","RBB Communications"
"4d75840875fbddfbedc4f0ca1b2752c4611f7924","5544d242e6ff5e61d87f006c55009e1a8d650520","570ec31233135814745925b9","CMPY-d0cc6e34-c210-4c6d-9a0c-91de1f655b63","ExxonMobil"
"89a5b2f075830bbc0876e614ca7f6b6fe38025cb","023947dc6cc46797a7bc7a2cad3e0bf9b8e56e02","53b5752eed691f0db0af9037","CMPNY-94b0355b-4feb-4c76-b69b-dccb1b2967b5","AECOM"
"d0eddaf2a25c4c74169f7913ebb1ee2d54a1c460","73a0c82323a83e032f0782829d2e62e80bcbb5d4","5734da421b21e0181c69b5ca","CMPY-c7f2053d-e3bb-4e87-b044-56ec734dd955","NJ Advance Media"
"27462f98f3af70376150485a902dcc2f8dad99aa","0f3192ab24cc2d4efbce4ed466b1e5975a015b42","55ef4b781b21e0083c5f9f54","CMPY-ca7a52e8-8f19-4873-b2ae-7081b2c1c363","Ry Rod Enterprises"
"6d9ea2399b505d3ad6094f1dd07a7033916713a8","a14d7d041727d8ad35b74c4bd3c6f5ab836c814c","56eb2e2eed691f02345bb709","CMPY-978741c7-265d-419b-af8c-451571989a54","Harmelin Media"
"8380d0e36c79f9c0b7465a4ca3af56ccdeaf4bc2","5cf03a0abfdb78812e7d675ed83e749de3d7616d","565dc98733135810a4685ea6","CMPY-80abd580-111b-4a80-a40d-59fe55895628","Pegasus"
"2981a6b75993abc80b2afcb4c8be6314ea1f03fc","c5ba12a75f3771ae79b937e8d8b3a263748ca470","55562f851b21e00c6c049991","CMPNY-d992c23e-f2c5-4c88-990a-53161c745110","5ifty & 5ive LLC"
"429500a62bd5a6f0373c19407aae52a7f2ca54ba","66ad03023daeaf4ea455501c4966b0a02640a285","549845c71b21e01074bb8053","CMPY-e3ff16c8-537b-41b5-b154-ae13693ecf6e","Hippo Data"
"86cd79ec1d172a58d504fd122d4424483200fef6","3a7bf7af64b8d99a8aa36a3af2c3eecd15e7ee89","55df3c3eed691f13ec407613","CMPY-f21ac20b-facd-4d58-9737-fafd30098077","ZIMAT Consultores"
"640bb7f04416df8a7c6e0b02dae1696b7f6157de","e37b97cb7dc2cc6706030af0c9afb1df8b05d6bf","55d601193313580298d42fd5","CMPY-54957435-af87-4f42-9f21-693160f49bef","Spurrier"
"f3241a08dcb551181c126a343a6272790f6bc6d9","73aab7b9bbfc537f8b30ae711702e2efa81e4edc","508034ca3313580934ce0080","CMPNY-85204d92-51ea-408d-8fba-9daaf8a17d11","Goldman Sachs"
"93bdea2b0fae54636d95562906fe3869c9e819dc","2c2f406a6cda26fb1ddb7a00c9d45af4bec36ce9","56787ad7ed691f0944bae8e9","CMPY-2aa1ef9d-fd4b-405d-b4d8-b637f5561d04","Smartbase Solutions"
"6572109e8cf15b478696051d662b8452cad279cc","f0b08f5cdfb94c3a7e6c26561c88ab316c319ef2","577552903313581890351b6a","CMPY-63865a1e-596b-4426-89a1-d97d88c24cde","Nobull Communications"
"2a4961f59d8b9b346610ad192eba7f35e731020c","ff6a2819cf2d8d636ed25e7f08aebf35dcee7a05","56af886833135817aca7496d","CMPY-5400e1d4-dd1b-44d6-8aae-257c27ed5146","DNAinfo"
"e4a0bd184f455cd54e78464830d8f1e8d8de3caa","ba5e414df3f2f2120c9b6f368a6bfb8d9e9a7037","559a8aa21b21e010e84c2711","CMPY-e7a11cd9-0e0f-48f9-a08d-b9ff4d71ce69","Pace Communications"
"023475c4d27b9ec349744c1e28d4069194c27a89","b4e16d13cdc670b377a09e6c1d9244691ed1ba62","56016ad7ed691f059cd515a7","CMPY-34a103d7-062a-4ed4-8c51-6e633678286b","Davis Elen Advertising"
"2d9299925dd1a74602037c7282eb6472e8b9d5cb","014a0f31eb84e325fee2bf70bb79128995501959","5527f51a33135803f005e3f0","CMPNY-4a3d7ec9-7f16-425a-bc32-8fa6be8d46e8","Protect-A-Bed"
"dea3019e6507b4012b3b9d954423aa59e7790837","0f3192ab24cc2d4efbce4ed466b1e5975a015b42","541b53aced691f0dfc908215","CMPNY-34afd737-325c-46f4-956f-2f5d2e18e473","NUVI Marketing"
"eca5fc2e9ebbce250fcd5809180dd2de294b3b53","aa25d8fbc78e3a31747b2d7a191d57a781521bf2","57eae072b6929511d892979d","CMPY-0cb54cab-c54d-4277-906c-55026a887186","Evok Advertising"
"e2a7dcffb3e39227ac7f0d3e40a37d4eec4e74c5","1824b54392b39118dd8b1fedf092151c00bdd162","542ab750ed691f0b8450924e","CMPNY-52e03647-f638-4a3a-973d-f7898f29801c","Curator"
"c078d7e8691a4dc81c3250bff0e1881074d38940","56826b0e4ab228315157bf0557c2cb68fddd78d1","57041fbf1b21e009e069323a","CMPY-dee58a6c-e7b7-44a7-89f2-3b1b27fbc128","L'Oreal Australia"
"82052ee85eb230735af9d98ed2fda4c589cb788e","c257cb4473a68a0c6d3a8ad1305b85f694dbc7b8","54fe08cf1b21e0123458b0c0","CMPNY-dd8bf599-5815-4dfc-b4ee-1513ed30cb50","Boehringer Ingelheim"
"0e4dff12eea5d38bcffa313099a68bf7bd0d8a75","99af0dfce35ef7b58a406d4d42d008d8b1388fd5","57e931bcb692950c4c78289f","CMPY-a4a1bd0f-e57f-4851-a1c4-a67c4526eebb","Clean Energy Collective"
"0e4144ddc9d7a116ae770ac5af0c40a88b84ef57","91da6eaba8ea02708dc1eacdb6c7aa42b0b0f5f3","56dd8e4c3313580978a61ef6","CMPY-41460dd6-adac-4a15-be89-a7fc087f17d4","Exient"
"e46b5d51b93191f90b860734342fbb5f1a26ae5e","22d8613d0c3e5d630c102f178879c27a0905b605","526ff6a433135807dcdf7cb3","CMPNY-f8285b82-c8ea-47be-958d-31164914f870","DDC Advocacy"
"1b8268b7b5039675f2cc5c21eef2d072895f7be9","c59643d98c24e797d675d71a643230cfa1250f2d","569d389ced691f16a01e64d5","CMPY-bb1ae1e6-0e3b-46e6-b976-46baaedf04e8","Clear Solar"
"ce8b2af52a709d1c13e117f1a329072d646ce969","f3faafe954f22ab7e270f2e3095b04312bd97664","56378ce933135812e4d1901b","CMPY-ca13b8a2-9d36-4b95-a8e2-1a5a725ae25e","McKEE WALLWORK + COMPANY"
"f8e40af81c647e0fe1b41299df880244d2fc5a5d","c0e467bd255fc47b4c363a01ce92bf904d55a5c3","579f640e331358281c6814d3","CMPY-2faabaa4-5f42-41ab-985c-8aae8e084204","TrollBusters"
"94e5a07101bf032ae4f390b32002715d26ec4c50","e72d64ce78435b02ffae3296dbe87b0f6c9b9e28","54f4e5e11b21e01230b87cfa","CMPNY-263d35a8-d25f-46c1-93ba-49fc2dd8e666","Proof Interactive"
"39c84fd6ad81273a5481205cfe575cd484ddba01","0fa441d690f80e25bc500f6f65cfdc9322853906","560d6b513313580c443f1b23","CMPY-a756a509-7083-4bfc-a2ab-801ef98e4bea","Adams Knight"
"4df21c28e6acdfea5dd4059f79e19cc309ee2b8d","32a30d0585a4e2b1152f036a8b8d33b226086fb5","5755a65d33135810748a9216","CMPY-98109e44-1550-448e-a04d-234e3ae13380","CLS Strategies"
"e877de334b0988a69c3481ff6b7feaaafc72b29c","746913c99673402346a40abc9954aaf07297757b","5519a805ed691f10d0fbc74c","CMPNY-35b42b58-ca66-4bfe-968d-d51eccd315aa","Princeton Strategic Communications"
"85491d5dd19140ca0255f8aecd2fb190390ce82c","d0ed6778a87d2677e34faed8363833408bfe4736","5605844c331358068469125c","CMPY-31b103d6-4354-42f9-aacf-da95711a420d","Colour Toronto"
"c8499e658f4557adb46897e09d12f6f25313629b","5d4a301455c900a2bcee49c5dd6d18407b97ba74","56bcefcd1b21e00aa0f0f969","CMPY-e45ce8ba-5c46-4d81-ac12-2d5e21c2dec8","Fletcher/CSI, LLC"
"f81d5d618fe7dc76775b98626bf0716b28747c8e","6da872eddf8e30f8833c391452367a07005faab3","576b07ae1b21e011f0068a3e","CMPY-a6fc36a9-f753-483f-b840-ae9e5fd43462","Frank Public Relations Limited"
"96025ee8aac4b74c54238f7e8ef06609db76313a","27ac56c8e4ccf20660a715bc7bb27424b0be4b6b","559410a83313580b705c1065","CMPY-c3a5df5f-bc51-4e41-91ab-71378e46a5e1","TrafficPRM"
"e7028886787ad73204da5309e5bd1c583cc91c0d","2b29fd5764f59427b887bd6392c4c9ae61ae339c","5628ea90ed691f0908227556","CMPY-78a3b938-373d-408c-9ea1-8965b8f04633","Makes Media"
"a578a3cd537b49dc33675d7d6bbe5cbf4b72562f","4e89ec7605784e836cddae6e365fab9f986cd73a","568ea8881b21e0159c754aca","CMPY-e9502586-76e2-4f68-bffb-94d309cc2a39","Environics Analytics"
"12ab7d7de97e792e99a6bd08cb514de0daf7e47f","d83be13676d9588add74ea3cbe5ecc972cba654d","55e6143f3313580e5c24f383","CMPY-6ab3b678-186f-4284-8c91-89b905a1b684","Vilocity"
"5fd4ac86d20da01540998dc27de3914a93699ac5","b888c42158ad0d6d0e23831f626da1dcc6030e94","5118d1e53313580c5024a92f","CMPNY-5eac9ffc-83b3-4966-82a8-2cfa97793423","Business Wire"
"453069f788ccc1218f8110e62086466a39659b9a","ff2e874c42a3174b65523aef1b3edd7cdaeb57f9","53c000eaed691f0fd089c06f","CMPY-2bce3172-61d8-46be-a0c4-bd6e2214b79b","Frank & Oak"
"2ee57cf5067e1d6804ac10c52c1b482380e7456c","f69b54f15c99bcc51fba1df6373dd30ce3252271","54fe0eeced691f109c0f6ab4","CMPNY-76871273-0ee3-4fdb-bde6-56cdcbb196aa","Sports Authority"
"71f9061fc5e4a755e8a46d8d736f885285e3c0b0","4051c87bbabb07ed154c1f8e301ddaf1c4d24793","500716752c27e603ecd2f0eb","CMPNY-a4881a4b-d4d7-4b25-8c8e-eb7a433d8bd3","Intermountain Healthcare"
"a562e580d96dff5970b6cee00e0cd40a6524ac8c","0f1a0d0439128632f2e5916345407649509a59cc","569ceefe1b21e01178d0d7c2","CMPY-afbe0627-3a35-42a9-98d5-34ba619f4c31","Velogig"
